Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
08:10,0.1,0.5,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2
08:20,0.2,0.1,0.1,0.1,0.2,NA,0.1,0.1,0.1,0.1
08:30,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1
08:40,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.1
08:50,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,NA
09:00,0.3,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.2
09:10,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2
09:20,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1
09:30,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1
09:40,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1
